Date,Daily_Closing,Weekly_average,Monthly_average,Weekly_var,Monthly_var
2018-02-02,383.75,,,,
2018-02-05,395.8,,,,
2018-02-06,375.45,,,,
2018-02-07,377.8,,,,
2018-02-08,374.85,,,,
2018-02-09,368.75,,,,
2018-02-12,371.8,378.31,,,
2018-02-14,376.85,377.33,,,
2018-02-15,375.8,374.47,,,
2018-02-16,370.75,373.8,,,
2018-02-19,368.75,372.51,,,
2018-02-20,369.3,371.71,,,
2018-02-21,364.45,371.1,,,
2018-02-22,358.5,369.2,,,
2018-02-23,360.2,366.82,,,
2018-02-26,372.05,366.29,,,
2018-02-27,372.55,366.54,,,
2018-02-28,369.9,366.71,,,
2018-03-01,370.75,366.91,,,
2018-03-05,352.05,365.14,,,
2018-03-06,346.5,363.43,,,
2018-03-07,347.8,361.66,,,
2018-03-08,345.15,357.81,,,
2018-03-09,341.5,353.38,,,
2018-03-12,352.6,350.91,,,
2018-03-13,353.15,348.39,,,
2018-03-14,354.05,348.68,,,
2018-03-15,353.1,349.62,,,
2018-03-16,339.75,348.47,,,
2018-03-19,335.7,347.12,363.31,206.93,206.93
2018-03-20,338.8,346.74,361.81,210.93,210.93
2018-03-21,333.85,344.06,359.75,193.66,193.66
2018-03-22,338.2,341.92,358.51,199.58,199.58
2018-03-23,330.85,338.61,356.94,210.59,210.59
2018-03-26,332.35,335.64,355.53,218.31,218.31
2018-03-27,331.15,334.41,354.27,231.15,231.15
2018-03-28,326.85,333.15,352.77,244.17,244.17
2018-04-02,339.15,333.2,351.52,228.95,228.95
2018-04-03,343.1,334.52,350.43,209.83,209.83
2018-04-04,355.6,337.01,349.92,196.25,196.25
2018-04-05,362.2,341.49,349.7,189.18,189.18
2018-04-06,364.1,346.02,349.53,183.05,183.05
2018-04-09,358.3,349.9,349.33,177.98,177.98
2018-04-10,353.25,353.67,349.15,175.58,175.58
2018-04-11,355.8,356.05,349.0,172.87,172.87
2018-04-12,358.4,358.24,348.55,157.39,157.39
2018-04-13,357.05,358.44,348.03,139.74,139.74
2018-04-16,339.15,355.15,347.01,124.89,124.89
2018-04-17,336.45,351.2,345.86,107.94,107.94
2018-04-18,334.8,347.84,345.29,110.5,110.5
2018-04-19,334.25,345.13,344.88,114.48,114.48
2018-04-20,336.0,342.3,344.49,116.75,116.75
2018-04-23,334.05,338.82,344.12,120.35,120.35
2018-04-24,331.55,335.18,343.79,125.45,125.45
2018-04-25,328.6,333.67,342.99,130.06,130.06
2018-04-26,330.25,332.79,342.22,131.49,131.49
2018-04-27,336.9,333.09,341.65,127.31,127.31
2018-04-30,340.4,333.96,341.23,122.66,122.66
2018-05-02,336.05,333.97,341.1,123.49,123.49
2018-05-03,333.5,333.89,341.03,124.47,124.47
2018-05-04,334.4,334.3,340.88,125.79,125.79
2018-05-07,335.15,335.24,340.93,125.22,125.22
2018-05-08,332.15,335.51,340.73,127.58,127.58
2018-05-09,341.95,336.23,341.1,124.12,124.12
2018-05-10,333.6,335.26,341.14,123.42,123.42
2018-05-11,330.8,334.51,341.13,123.67,123.67
2018-05-14,323.6,333.09,341.02,127.22,127.22
2018-05-15,310.1,329.62,340.05,159.09,159.09
2018-05-16,310.25,326.06,338.95,188.15,188.15
2018-05-17,314.9,323.6,337.6,196.65,196.65
2018-05-18,304.6,318.26,335.68,209.51,209.51
2018-05-21,295.9,312.88,333.4,230.87,230.87
2018-05-22,307.7,309.58,331.72,229.34,229.34
2018-05-23,309.45,307.56,330.26,228.25,228.25
2018-05-24,288.65,304.49,328.02,260.27,260.27
2018-05-25,294.15,302.19,325.88,263.26,263.26
2018-05-28,296.3,299.54,323.85,255.68,255.68
2018-05-29,294.65,298.11,322.37,274.74,274.74
2018-05-30,288.9,297.11,320.78,303.94,303.94
2018-05-31,282.5,293.51,319.04,344.56,344.56
2018-06-01,287.2,290.34,317.47,369.0,369.0
2018-06-04,286.65,290.05,315.83,387.13,387.13
2018-06-05,284.95,288.74,314.19,405.79,405.79
2018-06-06,295.65,288.64,312.99,405.77,405.77
2018-06-07,305.4,290.18,312.22,398.74,398.74
2018-06-08,309.95,293.19,311.54,387.24,387.24
2018-06-11,309.75,297.08,310.64,364.34,364.34
2018-06-12,307.8,300.02,309.55,332.85,332.85
2018-06-13,308.4,303.13,308.63,307.81,307.81
2018-06-14,305.9,306.12,307.71,285.87,285.87
2018-06-15,302.95,307.16,306.66,260.95,260.95
2018-06-18,308.8,307.65,305.78,232.33,232.33
2018-06-19,305.05,306.95,304.88,207.53,207.53
2018-06-20,305.6,306.36,303.67,158.65,158.65
2018-06-21,307.0,306.24,302.78,127.33,127.33
2018-06-22,308.0,306.19,302.02,100.6,100.6
2018-06-25,289.4,303.83,300.88,88.7,88.7
2018-06-26,276.85,300.1,299.77,104.42,104.42
2018-06-27,271.05,294.71,298.47,127.32,127.32
2018-06-28,263.35,288.75,296.75,157.48,157.48
2018-06-29,269.3,283.56,295.57,179.91,179.91
2018-07-02,266.7,277.81,294.6,207.67,207.67
2018-07-03,269.45,272.3,293.32,221.89,221.89
2018-07-04,267.05,269.11,291.91,234.66,234.66
2018-07-05,261.55,266.92,291.01,265.23,265.23
2018-07-06,270.85,266.89,290.23,278.28,278.28
2018-07-09,273.5,268.34,289.47,286.07,286.07
2018-07-10,275.45,269.22,288.83,291.5,291.5
2018-07-11,267.8,269.38,288.13,306.24,306.24
2018-07-12,266.1,268.9,287.58,321.57,321.57
2018-07-13,263.6,268.41,286.79,340.76,340.76
2018-07-16,252.1,267.06,285.64,380.89,380.89
2018-07-17,257.95,265.21,284.74,406.49,406.49
2018-07-18,251.85,262.12,283.28,437.49,437.49
2018-07-19,252.5,258.84,281.52,450.08,450.08
2018-07-20,253.4,256.79,279.63,445.8,445.8
2018-07-23,258.75,255.74,277.93,426.58,426.58
2018-07-24,258.8,255.05,276.3,405.69,405.69
2018-07-25,257.85,255.87,274.62,378.96,378.96
2018-07-26,258.25,255.91,273.03,351.84,351.84
2018-07-27,268.15,258.24,271.87,320.4,320.4
2018-07-30,267.5,260.39,270.49,272.07,272.07
